County_Name,Project_Number,PointID,Elevation,Latitude83,Longitude83,Hole_Type,Bag_Number,LabID,AASHTO_Symbol,AASHTO_Group_Index,USCS_Symbol,USCS_Group_Name,Max_Dry_Density,Opt_Moisture_Content,Method,CBR,Liquid_Limit,Plastic_Limit,Plasticity_Index,Liquidity,Specific_Gravity,PF3,PF2,PF1,PF3_4,PF3_8,PF4,PF10,PF40,PF200,Pct_Clay,Pct_Colloid
Allen,R-024-2011,5,688.37,36.75,-86.15,cut profile,,With Gravel,A-4,(2),ML,SANDY SILT with GRAVEL,114.60,12.40,T99C,18.70,30.59,22.60,8.00,-0.91,2.62,100.00,100.00,100.00,96.76,91.21,83.81,75.83,63.04,55.56,17.15,14.73
Allen,R-075-2007,35,626.00,36.72,-86.27,cut profile,,No Raw Data,A-4,(1),SC,CLAYEY SAND with GRAVEL,111.20,15.00,,5.60,29.00,21.00,8.00,-1.46,2.61,100.00,100.00,100.00,99.40,87.10,74.30,73.60,49.60,43.70,14.20,9.30
Allen,R-075-2007,38,605.13,36.72,-86.27,cut profile,,No Raw Data,A-6,(8),CL,LEAN CLAY with SAND,105.60,15.00,698D,8.80,33.00,21.00,12.00,-0.90,2.64,100.00,100.00,100.00,99.70,97.20,93.60,93.40,82.40,74.70,24.00,20.90
Allen,R-075-2007,40,568.44,36.73,-86.27,fill profile,,No Raw Data,A-4,(1),SC,CLAYEY SAND with GRAVEL,109.00,13.00,698D,12.60,29.00,21.00,8.00,-0.75,2.68,100.00,100.00,98.10,94.50,88.50,81.80,81.10,61.10,45.60,13.10,11.80
Allen,R-075-2007,42,610.80,36.73,-86.27,cut profile,,With Gravel,A-4,(4),CL,SANDY LEAN CLAY with GRAVEL,105.90,14.20,T99C_KYM,13.90,31.17,22.38,9.00,-1.43,2.62,100.00,100.00,95.19,91.45,86.65,82.38,80.25,66.52,60.57,18.90,13.68
Allen,R-079-2014,9,691.20,36.74,-86.19,cut profile,,With Gravel,A-4,(5),ML,SANDY SILT,98.66,19.50,T99C_KYM,27.50,35.14,25.65,9.00,-999.00,2.61,100.00,100.00,100.00,100.00,98.29,94.78,88.31,76.33,68.29,25.22,19.43
Allen,R-079-2014,9,691.20,36.74,-86.19,cut profile,,With Gravel,A-4,(2),SM,SILTY SAND with GRAVEL,95.77,18.80,T99C_KYM,24.30,34.00,26.00,8.00,-999.00,2.62,100.00,100.00,97.16,95.29,90.35,83.34,74.91,59.91,49.47,16.31,12.04
Allen,R-080-2014,15,849.00,36.75,-86.13,cut profile,,No Gravel,A-7-5,(28),CH,FAT CLAY with SAND,95.93,24.80,T99A,3.40,63.51,30.26,34.00,-0.15,2.81,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.87,77.26,45.39,38.43
Allen,R-080-2014,18,872.90,36.75,-86.12,cut profile,,No Gravel,A-7-5,(23),MH,ELASTIC SILT with SAND,93.14,24.90,T99A,7.40,58.82,32.21,27.00,-0.08,2.82,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.11,78.30,46.23,40.88
Allen,R-080-2014,21,837.13,36.75,-86.12,cut profile,,No Gravel,A-7-6,(20),CL,LEAN CLAY,97.50,22.80,T99A,2.00,44.80,25.00,20.00,0.24,2.73,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.69,90.96,29.23,22.08
